trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
131,False,"{'a': 0.5, 'e': 0.07427357821433388}",20,6,-0.7031941536835502,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.07280286282743559}",30,7,43.14523978202552,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.07136126955638605}",20,0,29.50217101619208,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
134,False,"{'a': 0.5, 'e': 0.06994822174465536}",20,5,12.84202520764961,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.06856315415427791}",25,20,10.333441536767594,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.06720551273974976}",30,0,44.27126939965822,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
137,False,"{'a': 0.5, 'e': 0.06587475442640295}",20,0,28.321562865759805,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
138,False,"{'a': 0.5, 'e': 0.06457034689316847}",20,0,-2.3254479748885144,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
139,False,"{'a': 0.5, 'e': 0.0632917683596407}",20,13,13.170735722623638,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.06203850737735829}",25,19,9.63317340288726,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.06081006262521795}",20,8,1.3750981106964018,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.05960594270893937}",30,22,14.091388084032832,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.05842566596450083}",20,14,11.592589672651695,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.05726876026546736}",20,15,10.060653445964494,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.056134762834133725}",25,13,21.905977612639187,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.05502322005640723}",20,0,27.974822697261168,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
147,False,"{'a': 0.5, 'e': 0.05393368730035602}",20,16,9.935037980334226,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.05286572873835037}",20,14,9.581188169016354,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.05181891717272583}",20,7,21.264248627061058,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.0507928338648985}",25,9,19.709420141617265,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.049787068367863944}",25,19,10.427809710913229,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.04880121836201296}",35,18,-51.82346211051002,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 2}",1
153,False,"{'a': 0.5, 'e': 0.04783488949419837}",20,9,20.438126120373923,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.046887695219988486}",20,0,16.20336121868411,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
155,False,"{'a': 0.5, 'e': 0.045959256649044204}",25,13,22.57658341325359,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.0450492023935578}",20,4,4.627808212989936,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.04415716841969286}",25,11,27.211104504036708,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.043282797901965896}",25,14,21.157426867261922,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.042425741080511385}",30,7,37.402590059773125,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.04158565512117316}",20,6,-19.42758040135606,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
161,False,"{'a': 0.5, 'e': 0.04076220397836621}",25,14,21.50164030468714,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.039955058260653896}",20,14,12.654087905370112,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.039163895098987066}",30,10,27.62701887337783,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.038388398017552054}",30,13,28.13965188573014,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.0376282568071762}",20,14,12.13886458784574,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.036883167401239994}",20,10,21.627142451768584,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.03615283175404641}",25,17,12.747092466575964,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.03543695772159864}",25,11,24.606687750013815,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.03473525894473856}",20,14,8.712785685503182,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.034047454734599344}",25,14,19.70564380980196,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.03337326996032608}",20,14,9.50835612128253,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.03271243493901982}",30,15,28.745903788318884,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.03206468532786077}",30,20,17.905320588311188,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.03142976201836771}",20,12,17.262167178996513,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.030807411032751076}",30,16,21.799243023987817,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.0301973834223185}",30,17,14.106006518225414,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.029599435167892}",30,16,24.51038017901778,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.029013327082197053}",25,0,35.892944615463804,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
179,False,"{'a': 0.5, 'e': 0.028438824714184505}",30,23,6.395945372296439,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.027875698255247015}",30,16,24.66425106306494,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.02732372244729256}",25,17,9.556245495195647,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.026782676492638175}",25,11,12.05026337847855,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
183,False,"{'a': 0.5, 'e': 0.02625234396568796}",30,16,29.213144125818918,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.5, 'e': 0.02573251272635994}",35,22,24.78691258323905,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.5, 'e': 0.025222974835227212}",25,13,20.050979822173797,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.5, 'e': 0.024723526470339388}",20,11,13.360201688079902,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.5, 'e': 0.024233967845691113}",20,15,-0.2614977439951969,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
188,False,"{'a': 0.5, 'e': 0.023754103131304997}",20,16,8.97561502724254,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.5, 'e': 0.023283740374897}",30,24,12.436731258194222,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.5, 'e': 0.02282269142509297}",25,4,35.30338891998229,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.5, 'e': 0.02237077185616559}",20,10,17.955001405865403,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.5, 'e': 0.02192780089426161}",25,16,18.920019231377164,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.5, 'e': 0.021493601345089923}",30,17,22.467594373866888,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.5, 'e': 0.021067999523041434}",20,12,14.536301372478109,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.5, 'e': 0.020650825181712566}",25,17,15.692799590247796,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.5, 'e': 0.02024191144580439}",20,12,16.967206941266156,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.5, 'e': 0.019841094744370288}",20,3,27.619207654080522,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.5, 'e': 0.01944821474538539}",20,14,11.95926979813024,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.5, 'e': 0.019063114291611637}",20,13,15.996862140656573,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.5, 'e': 0.018685639337732773}",30,19,19.27730778633965,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.5, 'e': 0.01831563888873418}",25,15,18.42835485328142,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.5, 'e': 0.01795296493950285}",20,3,30.639862992031613,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.5, 'e': 0.017597472415623393}",25,8,-12.086750224947588,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
204,False,"{'a': 0.5, 'e': 0.017249019115346265}",30,11,36.016796063830576,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 0.5, 'e': 0.01690746565270528}",20,6,-15.27484648311448,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
206,False,"{'a': 0.5, 'e': 0.016572675401761255}",25,20,12.4666194753041,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.5, 'e': 0.01624451444194987}",25,11,27.43348736334881,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.5, 'e': 0.015922851504511698}",30,19,22.2673864376392,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
